"REFYEAR","ALTERNATIVE","RT_CONTRIB_EE_OASDI","RT_CONTRIB_SE_OASDI","PRODUCTIVITY","PGDP","AVG_HOURS_WORKED","GROWTH_WAGE_NOMINAL","GROWTH_WAGE_REAL","UR","CHG_RGDP","INTRATE_NOMINAL","INTRATE_REAL","CPI_ADJ","AWI","TAXABLE_PAYROLL","NGDP","INTRATE_NEWISSUE_FACTOR","INTRATE_EFFECTIVE_FACTOR"
2066,1,NA,NA,1.93,2.75,0.05,4.8,1.75,3.5,2.6,5.8,2.8,356.54,527866.94,98260,270743,11.0213,9.3934
2067,1,NA,NA,1.93,2.75,0.05,4.8,1.75,3.5,2.6,5.8,2.8,367.23,553214.06,103594,285465,11.6697,9.9461
2068,1,NA,NA,1.93,2.75,0.05,4.79,1.74,3.5,2.6,5.8,2.8,378.25,579759.4,109217,300978,12.3564,10.5313
2069,1,NA,NA,1.93,2.75,0.05,4.8,1.74,3.5,2.6,5.8,2.8,389.6,607578.68,115134,317294,13.0834,11.1509
2070,1,NA,NA,1.93,2.75,0.05,4.8,1.74,3.5,2.6,5.8,2.8,401.29,636729.9,121376,334496,13.8533,11.8071
2071,1,NA,NA,1.93,2.75,0.05,4.79,1.74,3.5,2.6,5.8,2.8,413.32,667248.86,127973,352665,14.6684,12.5018
2072,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.6,5.8,2.8,425.72,699192.82,134938,371838,15.5315,13.2374
2073,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.6,5.8,2.8,438.5,732639.21,142293,392068,16.4454,14.0163
2074,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.6,5.8,2.8,451.65,767693.22,150074,413456,17.413,14.841
2075,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.7,5.8,2.8,465.2,804422.07,158315,436091,18.4376,15.7143
2076,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.7,5.8,2.8,479.16,842918.66,167034,460021,19.5225,16.6389
2077,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.7,5.8,2.8,493.53,883256.69,176256,485309,20.6712,17.6179
2078,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.7,5.8,2.8,508.34,925495.01,186031,512094,21.8875,18.6545
2079,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.7,5.8,2.8,523.59,969733.97,196402,540487,23.1753,19.7522
2080,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,539.29,1016051.44,207395,570560,24.5389,20.9144
2081,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.8,5.8,2.8,555.47,1064611.69,219034,602378,25.9828,22.145
2082,1,NA,NA,1.93,2.75,0.05,4.78,1.72,3.5,2.8,5.8,2.8,572.14,1115478.49,231370,636074,27.5116,23.448
2083,1,NA,NA,1.93,2.75,0.05,4.78,1.72,3.5,2.8,5.8,2.8,589.3,1168770.79,244449,671774,29.1304,24.8277
2084,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.8,5.8,2.8,606.98,1224619.16,258294,709539,30.8445,26.2886
2085,1,NA,NA,1.93,2.75,0.05,4.78,1.72,3.5,2.8,5.8,2.8,625.19,1283116.99,272944,749476,32.6594,27.8354
2086,1,NA,NA,1.93,2.75,0.05,4.78,1.73,3.5,2.8,5.8,2.8,643.95,1344453.07,288446,791710,34.581,29.4732
2087,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.8,5.8,2.8,663.26,1408653.41,304839,836347,36.6158,31.2074
2088,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.8,5.8,2.8,683.16,1475882.21,322140,883435,38.7702,33.0437
2089,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.8,5.8,2.8,703.66,1546273.57,340405,933127,41.0515,34.9879
2090,1,NA,NA,1.93,2.75,0.05,4.77,1.71,3.5,2.8,5.8,2.8,724.77,1619988.11,359689,985569,43.467,37.0466
2091,1,NA,NA,1.93,2.75,0.05,4.77,1.71,3.5,2.8,5.8,2.8,746.51,1697206.32,380019,1040839,46.0246,39.2265
2092,1,NA,NA,1.93,2.75,0.05,4.77,1.71,3.5,2.8,5.8,2.8,768.91,1778116.24,401441,1099058,48.7326,41.5345
2093,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,791.97,1862894.42,423994,1160335,51.6001,43.9784
2094,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,815.73,1951720.54,447748,1224859,54.6362,46.5661
2095,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,840.2,2044788.3,472758,1292776,57.851,49.3061
2096,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,865.41,2142305.56,499096,1364278,61.255,52.2072
2097,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,891.37,2244496.91,526830,1439550,64.8592,55.2791
2098,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,918.11,2351572.37,556041,1518811,68.6755,58.5317
2099,1,NA,NA,1.93,2.75,0.05,4.77,1.72,3.5,2.7,5.8,2.8,945.66,2463777.47,586803,1602260,72.7164,61.9758
2100,1,NA,NA,1.93,2.75,0.05,4.76,1.71,3.5,2.7,5.8,2.8,974.03,2581302.68,619206,1690135,76.995,65.6224
2022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.15,63467.98,9069,25422,0.9711,0.9884
2023,2,NA,NA,0.18,3.89,0.3,4.15,0.15,4.3,0.7,3.5,-1,100,66147.17,9552,26592,1,1.0117
2024,2,NA,NA,1.11,2.17,-0.04,3.76,1.2,4.7,1.8,3.5,1,102.53,68627.58,9986,27655,1.0357,1.0356
2025,2,NA,NA,1.4,2.05,-0.04,4.06,1.62,4.6,2.4,3.6,1.1,104.99,71411.99,10465,28902,1.0727,1.0602
2026,2,NA,NA,1.44,2.05,-0.03,4.1,1.66,4.6,2.3,3.7,1.2,107.51,74348.48,10944,30177,1.1112,1.0862
2027,2,NA,NA,1.47,2.05,-0.04,4.08,1.64,4.5,2.2,3.9,1.3,110.09,77393.67,11443,31478,1.153,1.114
2028,2,NA,NA,1.56,2.05,-0.05,4.01,1.57,4.5,2,4.2,1.5,112.73,80510.73,11934,32778,1.1985,1.1442
2029,2,NA,NA,1.63,2.05,-0.05,4.03,1.6,4.4,2,4.4,1.8,115.44,83757.03,12438,34125,1.2492,1.1768
2030,2,NA,NA,1.63,2.05,-0.05,4.01,1.57,4.4,2,4.6,2,118.21,87106.49,12954,35521,1.3051,1.2123
2031,2,NA,NA,1.63,2.05,-0.05,3.98,1.54,4.4,2,4.6,2.2,121.04,90574.48,13492,36976,1.3656,1.2512
2032,2,NA,NA,1.63,2.05,-0.05,3.76,1.33,4.4,2,4.7,2.2,123.95,93995.33,14023,38487,1.4295,1.2946
2033,2,NA,NA,1.63,2.05,-0.05,3.67,1.24,4.5,2,4.7,2.3,126.92,97455.02,14575,40064,1.4971,1.3452
2034,2,NA,NA,1.63,2.05,-0.05,3.66,1.23,4.5,2,4.7,2.3,129.97,101026.57,15142,41696,1.5683,1.4044
2035,2,NA,NA,1.63,2.05,-0.05,3.66,1.23,4.5,2,4.7,2.3,133.09,104726.27,15730,43392,1.6429,1.4693
2036,2,NA,NA,1.63,2.05,-0.05,3.66,1.23,4.5,2,4.7,2.3,136.28,108561.15,16338,45149,1.721,1.538
2037,2,NA,NA,1.63,2.05,-0.05,3.66,1.23,4.5,1.9,4.7,2.3,139.55,112537.34,16963,46957,1.8029,1.6105
2038,2,NA,NA,1.63,2.05,-0.05,3.65,1.22,4.5,1.9,4.7,2.3,142.9,116649.42,17615,48850,1.8886,1.6866
2039,2,NA,NA,1.63,2.05,-0.05,3.65,1.22,4.5,1.9,4.7,2.3,146.33,120914.15,18289,50807,1.9784,1.7664
2040,2,NA,NA,1.63,2.05,-0.05,3.63,1.2,4.5,1.9,4.7,2.3,149.85,125312.66,18992,52850,2.0725,1.8502
2041,2,NA,NA,1.63,2.05,-0.05,3.61,1.18,4.5,1.9,4.7,2.3,153.44,129842.92,19720,54970,2.171,1.9381
2042,2,NA,NA,1.63,2.05,-0.05,3.59,1.16,4.5,1.9,4.7,2.3,157.12,134513.64,20476,57176,2.2743,2.0301
2043,2,NA,NA,1.63,2.05,-0.05,3.58,1.15,4.5,1.9,4.7,2.3,160.9,139333.7,21260,59465,2.3824,2.1266
2044,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,1.9,4.7,2.3,164.76,144301.58,22076,61848,2.4957,2.2277
2045,2,NA,NA,1.63,2.05,-0.05,3.54,1.11,4.5,1.9,4.7,2.3,168.71,149423.47,22925,64333,2.6144,2.3337
2046,2,NA,NA,1.63,2.05,-0.05,3.52,1.1,4.5,1.9,4.7,2.3,172.76,154703.93,23808,66918,2.7387,2.4446
2047,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,1.9,4.7,2.3,176.91,160173.47,24730,69619,2.8689,2.5609
2048,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,181.15,165831.58,25689,72433,3.0054,2.6826
2049,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,185.5,171691.12,26691,75370,3.1483,2.8102
2050,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,189.95,177750.26,27736,78438,3.298,2.9438
2051,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,194.51,184025.21,28826,81642,3.4548,3.0838
2052,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,199.18,190524.84,29958,84974,3.6191,3.2305
2053,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,203.96,197257.17,31134,88439,3.7912,3.3841
2054,2,NA,NA,1.63,2.05,-0.05,3.52,1.1,4.5,2,4.7,2.3,208.85,204222.55,32354,92039,3.9715,3.545
2055,2,NA,NA,1.63,2.05,-0.05,3.52,1.09,4.5,2,4.7,2.3,213.87,211432.09,33623,95785,4.1603,3.7136
2056,2,NA,NA,1.63,2.05,-0.05,3.52,1.1,4.5,2,4.7,2.3,219,218892.32,34946,99691,4.3581,3.8902
2057,2,NA,NA,1.63,2.05,-0.05,3.53,1.1,4.5,2,4.7,2.3,224.26,226625.91,36325,103765,4.5654,4.0751
2058,2,NA,NA,1.63,2.05,-0.05,3.54,1.11,4.5,2,4.7,2.3,229.64,234650.32,37758,108001,4.7825,4.2689
2059,2,NA,NA,1.63,2.05,-0.05,3.54,1.12,4.5,2,4.7,2.3,235.15,242974.68,39247,112405,5.0099,4.4719
2060,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2,4.7,2.3,240.79,251610.19,40795,116988,5.2481,4.6846
2061,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,246.57,260565.06,42403,121751,5.4977,4.9073
2062,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,252.49,269849.96,44072,126700,5.7591,5.1407
2063,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,258.55,279468.09,45806,131844,6.033,5.3851
2064,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,2,4.7,2.3,264.75,289433.1,47606,137188,6.3199,5.6412
2065,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,2,4.7,2.3,271.11,299758.28,49472,142731,6.6204,5.9095
2066,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,1.9,4.7,2.3,277.62,310451.63,51407,148484,6.9352,6.1905
2067,2,NA,NA,1.63,2.05,-0.05,3.57,1.14,4.5,1.9,4.7,2.3,284.28,321530.33,53419,154469,7.265,6.4848
2068,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,1.9,4.7,2.3,291.1,332997,55510,160693,7.6104,6.7932
2069,2,NA,NA,1.63,2.05,-0.05,3.57,1.14,4.5,1.9,4.7,2.3,298.09,344877.39,57675,167145,7.9723,7.1162
2070,2,NA,NA,1.63,2.05,-0.05,3.57,1.14,4.5,1.9,4.7,2.3,305.24,357187.25,59924,173850,8.3514,7.4546
2071,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,1.9,4.7,2.3,312.57,369926.82,62264,180828,8.7485,7.8091
2072,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,1.9,4.7,2.3,320.07,383104.8,64697,188091,9.1646,8.1804
2073,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,1.9,4.7,2.3,327.75,396743.4,67224,195637,9.6004,8.5694
2074,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,1.9,4.7,2.3,335.62,410879.41,69856,203503,10.0569,8.9769
2075,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,1.9,4.7,2.3,343.67,425523.96,72602,211710,10.5351,9.4038
2076,2,NA,NA,1.63,2.05,-0.05,3.57,1.14,4.5,1.9,4.7,2.3,351.92,440700.85,75462,220261,11.0361,9.851
2077,2,NA,NA,1.63,2.05,-0.05,3.57,1.14,4.5,2,4.7,2.3,360.37,456424.43,78444,229180,11.5608,10.3194
2078,2,NA,NA,1.63,2.05,-0.05,3.56,1.14,4.5,2,4.7,2.3,369.01,472699.1,81553,238483,12.1106,10.8101
2079,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,377.87,489541.62,84804,248209,12.6865,11.3242
2080,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,386.94,506962.67,88194,258358,13.2897,11.8627
2081,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,396.23,525013.86,91730,268948,13.9217,12.4267
2082,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,405.74,543703.48,95421,280007,14.5837,13.0177
2083,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,415.47,563060.02,99278,291565,15.2772,13.6367
2084,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2,4.7,2.3,425.44,583111.22,103304,303635,16.0036,14.2851
2085,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2.1,4.7,2.3,435.65,603863.51,107502,316227,16.7646,14.9644
2086,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2.1,4.7,2.3,446.11,625372,111881,329367,17.5618,15.676
2087,2,NA,NA,1.63,2.05,-0.05,3.56,1.13,4.5,2.1,4.7,2.3,456.82,647617.56,116451,343089,18.3969,16.4214
2088,2,NA,NA,1.63,2.05,-0.05,3.55,1.13,4.5,2.1,4.7,2.3,467.78,670641.47,121212,357390,19.2717,17.2023
2089,2,NA,NA,1.63,2.05,-0.05,3.55,1.13,4.5,2.1,4.7,2.3,479.01,694465.98,126168,372288,20.1882,18.0203
2090,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2.1,4.7,2.3,490.5,719124.11,131330,387813,21.1481,18.8772
2091,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2.1,4.7,2.3,502.28,744644.17,136700,403977,22.1538,19.7749
2092,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2.1,4.7,2.3,514.33,771069.14,142284,420800,23.2072,20.7152
2093,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2.1,4.7,2.3,526.67,798430.43,148085,438290,24.3108,21.7002
2094,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2.1,4.7,2.3,539.31,826760.5,154111,456472,25.4668,22.7321
2095,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2.1,4.7,2.3,552.26,856091.73,160374,475384,26.6778,23.8131
2096,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2,4.7,2.3,565.51,886465.32,166877,495038,27.9464,24.9454
2097,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2,4.7,2.3,579.08,917921.34,173628,515460,29.2753,26.1317
2098,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2,4.7,2.3,592.98,950497.15,180635,536674,30.6674,27.3743
2099,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2,4.7,2.3,607.21,984234.51,187907,558712,32.1257,28.676
2100,2,NA,NA,1.63,2.05,-0.05,3.55,1.12,4.5,2,4.7,2.3,621.79,1019162.94,195457,581611,33.6533,30.0396
2022,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.64,63460.05,9067,25417,0.9711,0.9884
2023,3,NA,NA,-1.71,4.16,0.2,1.86,-2.58,4.9,-2.2,3.4,-1.5,100,64726.55,9322,25892,1,1.0117
2024,3,NA,NA,1.53,2.28,-0.12,3.63,0.7,6.3,0.8,2.9,0.5,102.92,67055.34,9613,26696,1.0347,1.0352
2025,3,NA,NA,1.5,1.41,-0.12,3.71,1.81,6,2.5,2.8,1,104.83,69534.32,9974,27746,1.065,1.0589
2026,3,NA,NA,1.41,1.35,-0.14,3.44,1.61,5.7,2.3,3,1,106.72,71952.76,10360,28771,1.0951,1.0831
2027,3,NA,NA,1.51,1.35,-0.15,3.43,1.6,5.5,2.1,3.2,1.2,108.64,74431.84,10727,29762,1.1282,1.1083
2028,3,NA,NA,1.28,1.35,-0.15,2.92,1.1,5.4,1.5,3.2,1.4,110.6,76626.52,11038,30614,1.1641,1.1346
2029,3,NA,NA,1.26,1.35,-0.15,2.74,0.92,5.4,1.4,3.3,1.4,112.59,78738.96,11334,31452,1.2018,1.1619
2030,3,NA,NA,1.3,1.35,-0.15,2.72,0.91,5.4,1.4,3.4,1.5,114.61,80892.11,11623,32320,1.2413,1.1911
2031,3,NA,NA,1.33,1.35,-0.15,2.72,0.9,5.4,1.4,3.5,1.6,116.68,83098.17,11914,33222,1.2835,1.2216
2032,3,NA,NA,1.33,1.35,-0.15,2.5,0.69,5.4,1.4,3.6,1.7,118.78,85191.64,12189,34138,1.329,1.2601
2033,3,NA,NA,1.33,1.35,-0.15,2.42,0.61,5.5,1.4,3.6,1.8,120.92,87261.17,12502,35088,1.3773,1.3065
2034,3,NA,NA,1.33,1.35,-0.15,2.41,0.6,5.5,1.4,3.6,1.8,123.09,89369.43,12822,36067,1.4273,1.3536
2035,3,NA,NA,1.33,1.35,-0.15,2.41,0.6,5.5,1.4,3.6,1.8,125.31,91526.06,13149,37070,1.4792,1.4026
2036,3,NA,NA,1.33,1.35,-0.15,2.41,0.59,5.5,1.4,3.6,1.8,127.56,93735.22,13482,38098,1.5329,1.4535
2037,3,NA,NA,1.33,1.35,-0.15,2.41,0.6,5.5,1.4,3.6,1.8,129.86,96001.63,13819,39137,1.5886,1.5063
2038,3,NA,NA,1.33,1.35,-0.15,2.41,0.6,5.5,1.4,3.6,1.8,132.2,98322.61,14166,40212,1.6463,1.561
2039,3,NA,NA,1.33,1.35,-0.15,2.42,0.61,5.5,1.3,3.6,1.8,134.58,100711.67,14518,41303,1.7061,1.6177
2040,3,NA,NA,1.33,1.35,-0.15,2.43,0.61,5.5,1.3,3.6,1.8,137,103154.86,14877,42423,1.768,1.6765
2041,3,NA,NA,1.33,1.35,-0.15,2.42,0.61,5.5,1.3,3.6,1.8,139.46,105653.97,15241,43561,1.8323,1.7374
2042,3,NA,NA,1.33,1.35,-0.15,2.41,0.6,5.5,1.3,3.6,1.8,141.98,108203.32,15611,44719,1.8988,1.8005
2043,3,NA,NA,1.33,1.35,-0.15,2.39,0.58,5.5,1.3,3.6,1.8,144.53,110800.8,15984,45890,1.9678,1.8659
2044,3,NA,NA,1.33,1.35,-0.15,2.37,0.56,5.5,1.2,3.6,1.8,147.13,113442.67,16363,47082,2.0393,1.9336
2045,3,NA,NA,1.33,1.35,-0.15,2.36,0.55,5.5,1.2,3.6,1.8,149.78,116129.77,16748,48300,2.1134,2.0039
2046,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.2,3.6,1.8,152.48,118863.47,17140,49543,2.1901,2.0767
2047,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.2,3.6,1.8,155.22,121659.55,17541,50817,2.2697,2.1521
2048,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.2,3.6,1.8,158.02,124508.24,17950,52119,2.3521,2.2303
2049,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.2,3.6,1.8,160.86,127418.17,18370,53454,2.4376,2.3113
2050,3,NA,NA,1.33,1.35,-0.15,2.32,0.51,5.5,1.2,3.6,1.8,163.75,130383.43,18799,54825,2.5261,2.3952
2051,3,NA,NA,1.33,1.35,-0.15,2.32,0.51,5.5,1.2,3.6,1.8,166.7,133413.28,19239,56234,2.6179,2.4822
2052,3,NA,NA,1.33,1.35,-0.15,2.32,0.51,5.5,1.2,3.6,1.8,169.7,136510.92,19687,57672,2.7129,2.5724
2053,3,NA,NA,1.33,1.35,-0.15,2.31,0.5,5.5,1.2,3.6,1.8,172.76,139677.63,20144,59144,2.8115,2.6659
2054,3,NA,NA,1.33,1.35,-0.15,2.31,0.5,5.5,1.2,3.6,1.8,175.87,142909.88,20609,60648,2.9136,2.7627
2055,3,NA,NA,1.33,1.35,-0.15,2.3,0.49,5.5,1.2,3.6,1.8,179.03,146212.61,21086,62192,3.0194,2.863
2056,3,NA,NA,1.33,1.35,-0.15,2.3,0.49,5.5,1.2,3.6,1.8,182.26,149586,21575,63777,3.1291,2.967
2057,3,NA,NA,1.33,1.35,-0.15,2.3,0.5,5.5,1.2,3.6,1.8,185.54,153038.31,22079,65410,3.2428,3.0748
2058,3,NA,NA,1.33,1.35,-0.15,2.31,0.5,5.5,1.2,3.6,1.8,188.88,156574.94,22594,67082,3.3606,3.1865
2059,3,NA,NA,1.33,1.35,-0.15,2.31,0.5,5.5,1.2,3.6,1.8,192.28,160199.39,23120,68793,3.4826,3.3022
2060,3,NA,NA,1.33,1.35,-0.15,2.32,0.51,5.5,1.2,3.6,1.8,195.74,163914.93,23657,70544,3.6092,3.4222
2061,3,NA,NA,1.33,1.35,-0.15,2.32,0.51,5.5,1.2,3.6,1.8,199.26,167722.72,24206,72335,3.7403,3.5465
2062,3,NA,NA,1.33,1.35,-0.15,2.32,0.52,5.5,1.2,3.6,1.8,202.85,171624.59,24765,74166,3.8761,3.6753
2063,3,NA,NA,1.33,1.35,-0.15,2.32,0.52,5.5,1.2,3.6,1.8,206.5,175616.73,25337,76041,4.0169,3.8088
2064,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.2,3.6,1.8,210.21,179704.38,25920,77956,4.1628,3.9472
2065,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,214,183892.1,26514,79912,4.314,4.0906
2066,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,217.85,188179.58,27117,81904,4.4707,4.2391
2067,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,221.77,192570.89,27733,83940,4.6331,4.3931
2068,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,225.76,197061.19,28361,86023,4.8014,4.5527
2069,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,229.83,201661.14,28998,88142,4.9758,4.7181
2070,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,233.96,206377.12,29646,90302,5.1566,4.8895
2071,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,238.18,211202.33,30306,92509,5.3439,5.0671
2072,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,242.46,216133.4,30980,94768,5.538,5.2511
2073,3,NA,NA,1.33,1.35,-0.15,2.33,0.52,5.5,1.1,3.6,1.8,246.83,221178.3,31666,97071,5.7391,5.4419
2074,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,251.27,226352.71,32366,99426,5.9476,5.6395
2075,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,255.79,231654.52,33081,101834,6.1637,5.8444
2076,3,NA,NA,1.33,1.35,-0.15,2.34,0.54,5.5,1.1,3.6,1.8,260.4,237088.27,33811,104301,6.3875,6.0567
2077,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,265.08,242658.23,34556,106822,6.6196,6.2767
2078,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,269.86,248358.31,35318,109403,6.86,6.5047
2079,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,274.71,254187.23,36098,112050,7.1092,6.7409
2080,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,279.66,260139.82,36896,114766,7.3674,6.9858
2081,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,284.69,266236.62,37714,117552,7.6351,7.2396
2082,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,289.82,272474.47,38554,120414,7.9124,7.5025
2083,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,295.03,278865.23,39416,123358,8.1998,7.775
2084,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,300.34,285411.72,40302,126389,8.4976,8.0575
2085,3,NA,NA,1.33,1.35,-0.15,2.34,0.54,5.5,1.1,3.6,1.8,305.75,292107.05,41212,129504,8.8063,8.3501
2086,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,311.25,298967.75,42145,132704,9.1262,8.6535
2087,3,NA,NA,1.33,1.35,-0.15,2.34,0.54,5.5,1.1,3.6,1.8,316.86,305980.71,43104,135997,9.4577,8.9678
2088,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,322.56,313161.34,44091,139389,9.8012,9.2935
2089,3,NA,NA,1.33,1.35,-0.15,2.35,0.54,5.5,1.1,3.6,1.8,328.37,320508.53,45103,142871,10.1573,9.6311
2090,3,NA,NA,1.33,1.35,-0.15,2.34,0.54,5.5,1.1,3.6,1.8,334.28,328026.09,46140,146448,10.5262,9.981
2091,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,340.29,335712.98,47203,150119,10.9086,10.3435
2092,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,346.42,343578.65,48293,153892,11.3048,10.7192
2093,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,352.65,351622.56,49410,157761,11.7154,11.1086
2094,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.1,3.6,1.8,359,359849.46,50553,161729,12.141,11.5121
2095,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.2,3.6,1.8,365.46,368262.47,51724,165801,12.582,11.9303
2096,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.2,3.6,1.8,372.04,376867.67,52923,169982,13.039,12.3636
2097,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.2,3.6,1.8,378.74,385672.63,54150,174263,13.5127,12.8127
2098,3,NA,NA,1.33,1.35,-0.15,2.34,0.53,5.5,1.2,3.6,1.8,385.56,394681.77,55404,178651,14.0035,13.2781
